taxon_id,organism,accession,gc_count,seq_length,chromosomes,gene_total,gene_num_protein_coding,gene_num_non_coding,gene_num_pseudogene
568815,Brucella microti CCM 4915,GCF_000022745.1,1910786,3337369,2,3199,3051,68,80
548476,Corynebacterium aurimucosum ATCC 700975,GCF_000022905.1,1707290,2819226,2,2661,2536,69,56
595494,Tolumonas auensis DSM 9187,GCF_000023065.1,1701871,3471292,1,3271,3125,121,25
471853,Beutenbergia cavernae DSM 12333,GCF_000023105.1,3413947,4669183,1,4286,4181,54,51
471854,Dyadobacter fermentans DSM 18053,GCF_000023125.1,3591547,6967790,1,5798,5721,52,25
645127,Corynebacterium kroppenstedtii DSM 44385,GCF_000023145.1,1405930,2446804,1,2108,2014,58,36
525897,Desulfomicrobium baculatum DSM 4028,GCF_000023225.1,2312250,3942657,1,3534,3437,76,21
446462,Actinosynnema mirum DSM 43827,GCF_000023245.1,6079614,8248144,1,7171,6894,76,201
525909,Acidimicrobium ferrooxidans DSM 10331,GCF_000023265.1,1473791,2158157,1,2069,1983,55,31
521097,Capnocytophaga ochracea DSM 7271,GCF_000023285.1,1034404,2612925,1,2264,2173,62,29
521045,Kosmotoga olearia TBF 19.5.1,GCF_000023325.1,956441,2302126,1,2179,2104,55,20
446465,Brachybacterium faecium DSM 4810,GCF_000023405.1,2604449,3614992,1,3191,3092,62,37
526222,Maridesulfovibrio salexigens DSM 2638,GCF_000023445.1,2020207,4289847,1,3938,3810,108,20
655815,Zunongwangia profunda SM-A87,GCF_000023465.1,1857350,5128187,1,4488,4372,60,56
579405,Musicola paradisiaca Ech703,GCF_000023545.1,2574403,4679450,1,4096,3934,101,61
561229,Dickeya chrysanthemi Ech1591,GCF_000023565.1,2624381,4813854,1,4296,4118,105,73
436113,Mycoplasma mycoides subsp. capri str. GM12,GCF_000023685.1,259465,1084586,1,900,852,39,9
583345,Methylotenera mobilis JLW8,GCF_000023705.1,1159404,2547570,1,2382,2312,55,15
582744,Methylovorus glucosetrophus SIP3-4,GCF_000023745.1,1683055,3082007,3,2954,2881,58,15
582402,Hirschia baltica ATCC 49814,GCF_000023785.1,1599770,3540114,2,3235,3176,48,11
485917,Pedobacter heparinus DSM 2366,GCF_000023825.1,2172827,5167383,1,4285,4222,58,5
469378,Cryptobacterium curtum DSM 15641,GCF_000023845.1,823649,1617804,1,1402,1340,60,2
471857,Saccharomonospora viridis DSM 43017,GCF_000023865.1,2900171,4308349,1,3950,3846,59,45
523794,Leptotrichia buccalis C-1013-b,GCF_000023905.1,730947,2465610,1,2351,2264,65,22
485918,Chitinophaga pinensis DSM 2588,GCF_000024005.1,4128036,9127347,1,7175,7064,92,19
479433,Catenulispora acidiphila DSM 44928,GCF_000024025.1,7303066,10467782,1,9103,8931,72,100
523791,Kangiella koreensis DSM 16069,GCF_000024085.1,1245988,2852073,1,2663,2599,52,12
313596,Robiginitalea biformata HTCC2501,GCF_000024125.1,1952065,3530383,1,3143,3080,51,12
485916,Desulfofarcimen acetoxidans DSM 771,GCF_000024205.1,1888927,4545624,1,4328,4097,103,128
521095,Lancefieldella parvulum DSM 20469,GCF_000024225.1,705312,1543805,1,1409,1352,51,6
521098,Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446,GCF_000024285.1,1984066,3205686,4,3181,3054,84,43
485915,Desulfohalobium retbaense DSM 5692,GCF_000024325.1,1668078,2909567,2,2544,2467,60,17
479435,Kribbella flavida DSM 17836,GCF_000024345.1,5348686,7579488,1,7128,6978,62,88
479431,Nakamurella multipartita DSM 44233,GCF_000024365.1,4297749,6060298,1,5500,5289,56,155
471852,Thermomonospora curvata DSM 43183,GCF_000024385.1,4039905,5639016,1,5002,4850,76,76
526218,Sebaldella termitidis ATCC 33386,GCF_000024405.1,1497450,4486650,3,4230,4149,56,25
488538,Candidatus Puniceispirillum marinum IMCC1322,GCF_000024465.1,1345200,2753527,1,2599,2536,43,20
574556,Anaplasma centrale str. Israel,GCF_000024505.1,603221,1206806,1,993,922,44,27
446470,Stackebrandtia nassauensis DSM 44728,GCF_000024545.1,4661422,6841557,1,6525,6363,55,107
519441,Streptobacillus moniliformis DSM 12112,GCF_000024565.1,439733,1673280,2,1568,1488,58,22
429009,Ammonifex degensii KC4,GCF_000024605.1,1282703,2157067,2,2247,2141,57,49
472759,Nitrosococcus halophilus Nc 4,GCF_000024725.1,2139198,4145260,2,3943,3818,54,71
555778,Halothiobacillus neapolitanus c2,GCF_000024765.1,1413191,2582886,1,2417,2323,53,41
526226,Gordonia bronchialis DSM 43247,GCF_000024785.1,3546559,5290012,2,4972,4679,58,235
502025,Haliangium ochraceum DSM 14365,GCF_000024805.1,6563619,9446314,1,6941,6743,57,141
150340,Vibrio antiquarius,GCF_000024825.1,2285154,5089025,2,4648,4463,162,23
518766,Rhodothermus marinus DSM 4252,GCF_000024845.1,2177804,3386737,2,2976,2912,51,13
479432,Streptosporangium roseum DSM 43021,GCF_000024865.1,7348162,10369518,2,9309,9025,84,200
525898,Sulfurospirillum deleyianum DSM 6946,GCF_000024885.1,898781,2306351,1,2342,2273,56,13
525903,Thermanaerovibrio acidaminovorans DSM 6589,GCF_000024905.1,1179189,1848474,1,1837,1745,62,30
446469,Sanguibacter keddieii DSM 10542,GCF_000024925.1,3057630,4253413,1,3784,3679,66,39
446471,Xylanimonas cellulosilytica DSM 15894,GCF_000024965.1,2775913,3831380,2,3518,3410,63,45
